run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
25/02/2026 19:22,2025,ABERDEEN,ARMENIA,YEREVAN,AVION EXPRESS MALTA LTD,C,1,0,0,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,AZERBAIJAN,BAKU (HEYDER ALIYEV INT'L),AIR HAMBURG,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26,61.538462,17.269231
25/02/2026 19:22,2025,ABERDEEN,CZECH REPUBLIC,PRAGUE,EASYJET UK LTD,S,2,0,0,0.000000,0.000000,0.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.500000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,CZECH REPUBLIC,PRAGUE,JET2.COM LTD,C,3,0,0,0.000000,33.333333,33.333333,33.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.333333,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66,42.424242,37.848485
25/02/2026 19:22,2025,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,342,0,2,14.825581,46.220930,18.604651,3.488372,4.941860,3.197674,6.104651,2.034884,0.000000,0.000000,0.581395,21.944444,276,67.625899,25.561594
25/02/2026 19:22,2025,ABERDEEN,POLAND,KRAKOW,RYANAIR,S,155,0,3,6.962025,47.468354,34.810127,5.063291,2.531646,0.632911,0.632911,0.000000,0.000000,0.000000,1.898734,5.735484,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,POLAND,RZESZOW,RYANAIR,C,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,POLAND,RZESZOW,RYANAIR SUN,C,1,0,0,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,ROMANIA,BUCHAREST (BANEASA),2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,C,2,0,0,0.000000,50.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.500000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,ROMANIA,BUCHAREST (OTOPENI),TITAN AIRWAYS LTD,C,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,519,0,4,17.017208,51.434034,18.355641,4.971319,3.059273,2.485660,0.956023,0.573614,0.382409,0.000000,0.764818,10.406551,562,83.887916,9.261566
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,336.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,TUI AIRWAYS LTD,C,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,1578,0,39,8.781694,50.216450,24.427953,6.184292,4.329004,2.659246,0.680272,0.309215,0.000000,0.000000,2.411874,8.417617,1700,83.893395,9.262941
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,BRISTOL,EASYJET UK LTD,S,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,474,0,17,21.181263,37.881874,23.625255,4.684318,5.091650,3.054990,1.018330,0.000000,0.000000,0.000000,3.462322,8.651899,539,80.673759,8.799629
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,2,0,0,0.000000,50.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.500000,2,50.000000,12.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,13.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,EDINBURGH,EASYJET UK LTD,S,1,0,3,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.000000,0.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,7,0,1,0.000000,0.000000,12.500000,37.500000,12.500000,25.000000,0.000000,0.000000,0.000000,0.000000,12.500000,40.000000,6,22.222222,53.833333
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,GLASGOW,EASYJET UK LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,50.000000,33.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,S,6,0,0,0.000000,0.000000,50.000000,0.000000,16.666667,16.666667,16.666667,0.000000,0.000000,0.000000,0.000000,43.833333,2,50.000000,21.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,C,1,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.000000,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,418,0,63,1.871102,39.708940,24.116424,6.029106,6.652807,4.781705,2.079002,1.455301,0.207900,0.000000,13.097713,20.217703,648,60.465116,17.817901
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,BRITISH AIRWAYS PLC,S,3,0,0,0.000000,33.333333,33.333333,33.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.666667,0,0.000000,0.000000
25/02/2026 19:22,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,S,4,0,0,25.000000,0.000000,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.500000,2,50.000000,62.500000
